Hxa_bar,Hxb_bar,azimuth,cov_group,d,date,days,dep,elevation,error_var,height,index,kind,lat,lon,next,number,platform_dir1,platform_dir2,platform_dir3,platform_height,platform_key,platform_lon,platform_lat,platform_nyquist,platform_vert_coord,previous,sdHxa,sdHxb,seconds,utime,value,vert_coord,x,x_m,y,y_m,z
,,-161.88695,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.754387,-97.65474,,,,,,,,,,,,,,,72000,1715198400,10.78959431804924,,-17499.984,,-53499.992,,3000
,,-159.77515,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.80838,-97.65474,,,,,,,,,,,,,,,72000,1715198400,10.682723569656787,,-17499.984,,-47500.0,,3000
,,-157.1355,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.862373,-97.65474,,,,,,,,,,,,,,,72000,1715198400,10.325595246660924,,-17499.984,,-41500.0,,3000
,,-169.06091,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.700394,-97.58864,,,,,,,,,,,,,,,72000,1715198400,10.76365742326061,,-11499.984,,-59499.992,,3000
,,-167.8687,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.754387,-97.58864,,,,,,,,,,,,,,,72000,1715198400,10.459691655080064,,-11499.984,,-53499.992,,3000
,,-166.39029,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.80838,-97.58864,,,,,,,,,,,,,,,72000,1715198400,10.638240705017722,,-11499.984,,-47500.0,,3000
,,-174.71877,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.700394,-97.52254,,,,,,,,,,,,,,,72000,1715198400,10.864496964966634,,-5499.9844,,-59499.992,,3000
,,-174.1304,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.754387,-97.52254,,,,,,,,,,,,,,,72000,1715198400,11.058167606045117,,-5499.9844,,-53499.992,,3000
,,-141.39896,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.700394,-97.98527,,,,,,,,,,,,,,,72000,1715198400,30.304527282714844,,-47500.0,,-59499.992,,3000
,,-138.3997,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.754387,-97.98527,,,,,,,,,,,,,,,72000,1715198400,41.279239654541016,,-47500.0,,-53499.992,,3000
,,-147.64215,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.646404,-97.91917,,,,,,,,,,,,,,,72000,1715198400,5.149060249328613,,-41500.0,,-65499.992,,3000
,,-145.10503,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.700394,-97.91917,,,,,,,,,,,,,,,72000,1715198400,32.36875915527344,,-41500.0,,-59499.992,,3000
,,-142.19923,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.754387,-97.91917,,,,,,,,,,,,,,,72000,1715198400,41.74640655517578,,-41500.0,,-53499.992,,3000
,,-138.8568,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.80838,-97.91917,,,,,,,,,,,,,,,72000,1715198400,30.935176849365234,,-41500.0,,-47500.0,,3000
,,-153.59543,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.59241,-97.85306,,,,,,,,,,,,,,,72000,1715198400,12.454992294311523,,-35500.0,,-71499.99,,3000
,,-151.54298,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.646404,-97.85306,,,,,,,,,,,,,,,72000,1715198400,27.25175666809082,,-35500.0,,-65499.992,,3000
,,-149.17805,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.700394,-97.85306,,,,,,,,,,,,,,,72000,1715198400,34.58753967285156,,-35500.0,,-59499.992,,3000
,,-146.43367,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.754387,-97.85306,,,,,,,,,,,,,,,72000,1715198400,39.814945220947266,,-35500.0,,-53499.992,,3000
,,-143.22673,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.80838,-97.85306,,,,,,,,,,,,,,,72000,1715198400,34.49897766113281,,-35500.0,,-47500.0,,3000
,,-139.4556,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.862373,-97.85306,,,,,,,,,,,,,,,72000,1715198400,9.225892066955566,,-35500.0,,-41500.0,,3000
,,-157.57956,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.59241,-97.78695,,,,,,,,,,,,,,,72000,1715198400,2.41106915473938,,-29500.0,,-71499.99,,3000
,,-155.75407,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.646404,-97.78695,,,,,,,,,,,,,,,72000,1715198400,23.93157958984375,,-29500.0,,-65499.992,,3000
,,-153.62785,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.700394,-97.78695,,,,,,,,,,,,,,,72000,1715198400,33.357540130615234,,-29500.0,,-59499.992,,3000
,,-151.12758,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.754387,-97.78695,,,,,,,,,,,,,,,72000,1715198400,36.6334228515625,,-29500.0,,-53499.992,,3000
,,-148.15753,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.80838,-97.78695,,,,,,,,,,,,,,,72000,1715198400,29.607131958007812,,-29500.0,,-47500.0,,3000
,,-144.59312,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.862373,-97.78695,,,,,,,,,,,,,,,72000,1715198400,16.394723892211914,,-29500.0,,-41500.0,,3000
,,-161.80579,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.59241,-97.72085,,,,,,,,,,,,,,,72000,1715198400,21.159236907958984,,-23500.0,,-71499.99,,3000
,,-160.26309,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.646404,-97.72085,,,,,,,,,,,,,,,72000,1715198400,30.17867660522461,,-23500.0,,-65499.992,,3000
,,-158.44806,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.700394,-97.72085,,,,,,,,,,,,,,,72000,1715198400,29.77566146850586,,-23500.0,,-59499.992,,3000
,,-156.28639,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.754387,-97.72085,,,,,,,,,,,,,,,72000,1715198400,34.720794677734375,,-23500.0,,-53499.992,,3000
,,-153.6767,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.80838,-97.72085,,,,,,,,,,,,,,,72000,1715198400,25.134428024291992,,-23500.0,,-47500.0,,3000
,,-150.47864,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.862373,-97.72085,,,,,,,,,,,,,,,72000,1715198400,19.198345184326172,,-23500.0,,-41500.0,,3000
,,-146.49657,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.91637,-97.72085,,,,,,,,,,,,,,,72000,1715198400,1.5436902046203613,,-23500.0,,-35500.0,,3000
,,-166.24693,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.59241,-97.65474,,,,,,,,,,,,,,,72000,1715198400,21.996883392333984,,-17499.984,,-71499.99,,3000
,,-165.04138,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.646404,-97.65474,,,,,,,,,,,,,,,72000,1715198400,24.11037254333496,,-17499.984,,-65499.992,,3000
,,-163.61046,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.700394,-97.65474,,,,,,,,,,,,,,,72000,1715198400,22.989856719970703,,-17499.984,,-59499.992,,3000
,,-161.88695,,,2024-05-08 20:00:00,633344000,,0,4,3000,,12,34.754387,-97.65474,,,,,,,,,,,,,,,72000,1715198400,31.341842651367188,,-17499.984,,-53499.992,,3000
